Date,Session ,Observer,Source,Region name,Source type,Start Scan,End Scan,First Row Mapped,Last Row completed,Tsys,Aborted scan #,Observing notes,Special RawDir,Beam Gains,Operator,all,DR1
2015-01-14,1,Rachel,Perseus_map_NGC1333-A ,NGC1333,map,11,58,,,36 K,"123, 124, 181","vegas needed to be reset after every configuration change (i.e., after a point & focus). Sounds like this is a known problem. autopeak_Jupiter didn't work at all, will look into this. Check data - make sure vegas issues didn't impact scans. The online data filler can't keep up with the maps. ",,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",David R,TRUE,TRUE
2015-01-14,1,Rachel,Standard_L1489PPC,L1489PPC,calibrator,64,64,,,36 K,,Track in centre beam,,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",David R,TRUE,TRUE
2015-01-14,1,Rachel,Perseus_map_NGC1333-B,NGC1333,map,70,117,,,36 K,,,,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",David R,TRUE,TRUE
2015-01-14,1,Rachel,OrionA_map_01,OrionA,map,125,172,,,36 K,,,/lustre/pipeline/scratch/GAS/rawdata/OrionA_session01/,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",David R,TRUE,TRUE
2015-01-14,1,Rachel,Jupiter ,Jupiter,calibrator,173,180,,,36 K,,"Wrong vegas config; pointing failed, kept continuum settings",,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",David R,TRUE,TRUE
2015-01-14,1,Rachel,Jupiter,Jupiter,calibrator,182,189,,,36 K,,Correct vegas line configuration,,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",David R,TRUE,TRUE
2015-01-14,1,Rachel,OrionA_map_02,OrionA,map,195,211,,17,36 K,,aborted after map row 17,/lustre/pipeline/scratch/GAS/rawdata/OrionA_session01/,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",David R,TRUE,TRUE
2015-01-20,2,Jaime,Perseus_map_NGC1333-C,NGC1333,map,8,55,,,40 K,,"Balance() failed, Pointing good... lost ~25 due to VEGAS problems",,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",David R,TRUE,TRUE
2015-01-20,2,Jaime,Perseus_map_NGC1333-D,NGC1333,map,61,108,,,40 K,,"Pointing and focus are good... balance failed, but continued without aborting",,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",David R,TRUE,TRUE
2015-01-20,2,Jaime,Standard_L1489PPC,L1489PPC,calibrator,114,114,,,40 K,,"Pointing and focus are good... balance failed, but continued without aborting",,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",David R,TRUE,TRUE
2015-01-20,2,Jaime,OrionA_map_02,OrionA,map,115,129,17,31,40 K,130,,,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",David R,TRUE,TRUE
2015-01-21,3,Rachel,Perseus_map_NGC1333-E,NGC1333,map,11,58,,,38 K,,"Partly cloudy, light wind. Balance() worked!",,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",David R,TRUE,TRUE
2015-01-21,3,Rachel,Standard_L1489PPC,L1489PPC,calibrator,64,64,,,38 K,,"Balance() failed, continued without aborting",,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Greg,TRUE,TRUE
2015-01-21,3,Rachel,Perseus_map_NGC1333-F,NGC1333,map,65,94,,30,38 K,95,"Balance() failed, continued without aborting",,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Greg,TRUE,TRUE
2015-01-22,4,Youngmin,Standard_L1489PPC,L1489PPC,calibrator,6,6,, ,40 K,,Partly cloudy.,,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Dave C,TRUE,TRUE
2015-01-22,4,Youngmin,Perseus_map_NGC1333-F,NGC1333,map,7,24,31,,40 K,,"Balance() failed, continued without aborting",,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Dave C,TRUE,TRUE
2015-01-22,4,Youngmin,Perseus_map_NGC1333-G,NGC1333,map,25,72,,,40 K,,"Balance() failed, continued without aborting",,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Dave C,TRUE,TRUE
2015-01-22,4,Youngmin,Jupiter,Jupiter,calibrator,78,85,,,39 K,,"Balance() failed, continued without aborting",,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Dave C,TRUE,TRUE
2015-01-22,4,Youngmin,Perseus_map_NGC1333-H,NGC1333,map,86,121,,36,39 K ,,"Balance() failed, continued without aborting",,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Ron W,TRUE,TRUE
2015-02-03,5,Rachel,Standard_L1489PPC,L1489PPC,calibrator,6,6,,,46 K,,"Bank D off, redid after operator manually turned it on",,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Dave R,TRUE,TRUE
2015-02-03,5,Rachel,Standard_L1489PPC,L1489PPC,calibrator,7,7,,,46 K,,Bank D on,,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Dave R,TRUE,TRUE
2015-02-03,5,Rachel,Perseus_map_NGC1333H,NGC1333,map,8,19,37,,44 K,,,,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Dave R,TRUE,TRUE
2015-02-03,5,Rachel,Perseus_map_NGC1333I,NGC1333,map,20,61,,42,43 K,62,,,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Dave R,TRUE,TRUE
2015-02-05,6,Youngmin,Standard_L1489PPC,L1489PPC,calibrator,6,6,,,36 K,,maintenance got delayed and we had antenna issue at the beginning of shift ,,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Greg M,TRUE,TRUE
2015-02-05,6,Youngmin,Taurus_map_001,B18,map,7,7,,,36 K,aborted,Bank B off,,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Greg M,TRUE,TRUE
2015-02-05,6,Youngmin,Taurus_map_001,B18,map,8,8,,,36 K,aborted,Bank C off,,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Greg M,TRUE,TRUE
2015-02-05,6,Youngmin,Taurus_map_001,B18,map,9,9,,,36 K,aborted,Bank C off,,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Greg M,TRUE,TRUE
2015-02-05,6,Youngmin,Taurus_map_001,B18,map,10,10,,,36 K,aborted,Bank B off,,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Greg M,TRUE,TRUE
2015-02-05,6,Youngmin,Taurus_map_001,B18,map,11,58,,,36 K,,"All Banks were on after multiple tries of rebooting VEGAS, first 1 hour of the shift  is lost because of VEGAS and antenna issues",,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Greg M,TRUE,TRUE
2015-02-05,6,Youngmin,Jupiter,Jupiter,calibrator,64,71,,,35 K,,,,"0.894,0.845,0.865,0.846,0.847,0.816,0.772,0.745,0.925,0.764,0.677,0.511,0.851,0.97",Dave R,TRUE,TRUE
