Region,BoxName,RA,Dec,VLSR,Priority
Perseus,Perseus_map_L1455-E,03:28:03.460,30:10:00.00,4.9,3
Perseus,Perseus_map_L1455-N,03:27:17.300,30:11:30.40,4.9,3
Perseus,Perseus_map_L1455-S,03:27:17.300,30:01:30.40,4.9,3
Perseus,Perseus_map_L1451-C,03:25:15.635,30:21:49.22 ,4.1,1
Perseus,Perseus_map_L1451-W,03:24:34.284 ,30:22:10.40,4.1,1
Perseus,Perseus_map_L1451-S,03:25:35.534 ,30:12:02.43,4.1,2
Perseus,Perseus_map_NGC1333-A,03:28:39.967,30:57:20.11,8.5,1
Perseus,Perseus_map_NGC1333-B,03:28:31.403 ,31:07:14.88,8.5,1
Perseus,Perseus_map_NGC1333-C,03:29:18.701 ,31:07:15.11,8.5,1
Perseus,Perseus_map_NGC1333-D,03:28:34.189 ,31:17:09.89,8.5,1
Perseus,Perseus_map_NGC1333-E,03:29:21.501 ,31:17:10.11,8.5,1
Perseus,Perseus_map_NGC1333-F,03:28:48.643,31:27:04.95,8.5,1
Perseus,Perseus_map_NGC1333-G,03:29:35.968,31:27:05.12,8.5,1
Perseus,Perseus_map_NGC1333-H,03:29:37.368,31:36:53.11,8.5,1
Perseus,Perseus_map_NGC1333-I,03:30:04.434,31:43:32.12,8.5,1
Perseus,Perseus_map_L1448-C,03:25:49.101,30:43:52.62 ,4.5,1
Perseus,Perseus_map_L1448-W,03:25:02.451,30:43:51.31,4.5,1
Perseus,Perseus_map_L1448-S,03:26:14.834,30:34:11.38,4.5,1
Perseus,Perseus_map_1,03:30:25.306,30:25:18.14,5.9,1
Perseus,Perseus_map_B1-A,03:33:10.186 ,31:08:42,6.6,1
Perseus,Perseus_map_B1-B,03:32:42.586,31:00:11,6.6,1
Perseus,Perseus_map_B1-C,03:33:30.491,31:02:42,6.6,1
Perseus,Perseus_map_B1-D,03:32:14.408,30:50:45,6.6,1
Perseus,Perseus_map_B1-E,03:31:27.473,30:44:45,6.6,1
Perseus,Perseus_map_B1-F,03:33:58.772,31:20:10,6.6,0
Perseus,Perseus_map_B1-G,03:33:11.761,31:18:38,6.6,1
Perseus,Perseus_map_B1-H,03:32:25.203,31:19:42,6.6,0
Perseus,Perseus_map_B1E-A,03:36:02.698,31:12:30,7.5,1
